ID,Population,Sex,BodySize
B19,SG Mainland M,M,4.4
B20,SG Mainland M,M,3.8
B21,SG Mainland M,M,3.85
B22,SG Mainland M,M,3.9
B23,SG Mainland M,M,3.65
B25,SG Mainland M,M,3.9
B26,SG Mainland M,M,3.8
B27,SG Mainland M,M,3.725
B28,SG Mainland M,M,3.525
B41,SG Mainland M,M,3.55
B1,SG Mainland M,M,4
B2,SG Mainland M,M,4.25
B3,SG Mainland M,M,3.75
B4,SG Mainland M,M,3.9
B5,SG Mainland M,M,3.85
B6,SG Mainland M,M,3.7
B7,SG Mainland M,M,3.35
B8,SG Mainland M,M,3.6
B9,SG Mainland M,M,4
B10,SG Mainland M,M,3.6
B11,SG Mainland M,M,3.575
B12,SG Mainland M,M,3.5
B13,SG Mainland M,M,4.175
B14,SG Mainland M,M,3.8
B15,SG Mainland M,M,3.525
B16,SG Mainland M,M,3.45
B17,SG Mainland M,M,3.7
B18,SG Mainland M,M,4
B43,SG Mainland M,M,3.75
B44,SG Mainland M,M,3.825
B45,SG Mainland M,M,3.6
B113,SG Mainland M,M,3.6
B114,SG Mainland M,M,3.7
B115,SG Mainland M,M,3.6
B116,SG Mainland M,M,3.65
B117,SG Mainland M,M,4.1
B118,SG Mainland M,M,4.125
B120,SG Mainland M,M,4.125
B155,SG Mainland M,M,4.35
B408,SG Mainland M,M,3.675
B410,SG Mainland M,M,3.8
B411,SG Mainland M,M,3.875
B412,SG Mainland M,M,4.25
B413,SG Mainland M,M,3.725
B24,SG Mainland F,F,3.8
B46,SG Mainland F,F,3.05
B47,SG Mainland F,F,3.1
B48,SG Mainland F,F,3.575
B49,SG Mainland F,F,3.25
B50,SG Mainland F,F,3.6
B51,SG Mainland F,F,3.75
B52,SG Mainland F,F,3.7
B58,SG Mainland F,F,3.65
B59,SG Mainland F,F,3.45
B60,SG Mainland F,F,3.725
B435,SG Mainland F,F,3.8
B436,SG Mainland F,F,2.525
B437,SG Mainland F,F,3.75
B438,SG Mainland F,F,3.225
B439,SG Mainland F,F,3.3
B70,SG Mainland F,F,3.85
B71,SG Mainland F,F,3.15
B72,SG Mainland F,F,3.45
B73,SG Mainland F,F,4
B74,SG Mainland F,F,3.375
B75,SG Mainland F,F,3.525
B76,SG Mainland F,F,3.525
B77,SG Mainland F,F,3.575
B78,SG Mainland F,F,3.75
B79,SG Mainland F,F,2.85
B236,SG Mainland F,F,3.25
B42,SG Mainland F,F,3.8
B237,SG Mainland F,F,3.25
B238,SG Mainland F,F,3.475
B239,SG Mainland F,F,3
B240,SG Mainland F,F,3.15
B241,SG Mainland F,F,3.1
B242,SG Mainland F,F,3.65
B243,SG Mainland F,F,4.1
B244,SG Mainland F,F,2.65
B245,SG Mainland F,F,3.3
B246,SG Mainland F,F,3.35
B247,SG Mainland F,F,3.65
B248,SG Mainland F,F,3.775
B249,SG Mainland F,F,3.8
B250,SG Mainland F,F,3.55
B251,SG Mainland F,F,3.9
B265,SG Mainland F,F,4.1
B29,SG Island M,M,3.65
B30,SG Island M,M,3.9
B31,SG Island M,M,3.8
B32,SG Island M,M,4.225
B33,SG Island M,M,3.5
B35,SG Island M,M,4
B95,SG Island M,M,3.8
B96,SG Island M,M,4.05
B97,SG Island M,M,3.6
B98,SG Island M,M,3.825
B99,SG Island M,M,4.05
B100,SG Island M,M,3.875
B101,SG Island M,M,3.45
B102,SG Island M,M,3.625
B103,SG Island M,M,3.85
B104,SG Island M,M,3.375
B121,SG Island M,M,3.875
B122,SG Island M,M,3.9
B123,SG Island M,M,3.4
B124,SG Island M,M,4.05
B125,SG Island M,M,3.95
B126,SG Island M,M,3.95
B127,SG Island M,M,3.9
B128,SG Island M,M,4
B129,SG Island M,M,3.7
B130,SG Island M,M,3.95
B132,SG Island M,M,3.45
B133,SG Island M,M,3.8
B134,SG Island M,M,3.85
B135,SG Island M,M,4.1
B136,SG Island M,M,3.85
B138,SG Island M,M,3.65
B139,SG Island M,M,3.6
B140,SG Island M,M,3.65
B141,SG Island M,M,3.65
B142,SG Island M,M,3.925
B143,SG Island M,M,3.675
B144,SG Island M,M,3.9
B146,SG Island M,M,3.75
B147,SG Island M,M,3.85
B148,SG Island M,M,3.85
B149,SG Island M,M,4
B150,SG Island M,M,3.65
B151,SG Island M,M,4
B152,SG Island M,M,3.65
B153,SG Island M,M,3.8
B154,SG Island M,M,3.775
B386,SG Island M,M,3.55
B387,SG Island M,M,3.55
B392,SG Island M,M,3.9
B404,SG Island M,M,3.95
B405,SG Island M,M,3.55
B406,SG Island M,M,3.95
B407,SG Island M,M,3.575
B420,SG Island M,M,3.8
B421,SG Island M,M,3.9
B428,SG Island M,M,4.3
B429,SG Island M,M,3.5
B430,SG Island M,M,3.65
B425,SG Island M,M,4.25
B433,SG Island M,M,3.35
B56,SG Island F,F,3.8
B57,SG Island F,F,3.45
B157,SG Island F,F,2.75
B158,SG Island F,F,2.4
B159,SG Island F,F,2.5
B160,SG Island F,F,3.2
B161,SG Island F,F,3.15
B162,SG Island F,F,2.95
B163,SG Island F,F,2.75
B164,SG Island F,F,2.8
B165,SG Island F,F,2.95
B166,SG Island F,F,3.55
B167,SG Island F,F,3.525
B168,SG Island F,F,3.45
B169,SG Island F,F,3.25
B170,SG Island F,F,3.85
B171,SG Island F,F,3.6
B172,SG Island F,F,3.25
B173,SG Island F,F,3.25
B174,SG Island F,F,3.65
B175,SG Island F,F,3.45
B176,SG Island F,F,3.95
B177,SG Island F,F,3.725
B179,SG Island F,F,3.45
B204,SG Island F,F,3.15
B205,SG Island F,F,3.475
B206,SG Island F,F,3.825
B207,SG Island F,F,3.7
B208,SG Island F,F,3.9
B229,SG Island F,F,4.05
B230,SG Island F,F,2.9
B232,SG Island F,F,3.425
B233,SG Island F,F,3.1
B181,SG Island F,F,3.35
B182,SG Island F,F,3.8
B184,SG Island F,F,3.35
B185,SG Island F,F,3.35
B186,SG Island F,F,3.65
B187,SG Island F,F,3.25
B188,SG Island F,F,3.6
B189,SG Island F,F,3.3
B234,SG Island F,F,3.9
B235,SG Island F,F,3.225
B253,SG Island F,F,3.25
B254,SG Island F,F,3.225
B255,SG Island F,F,2.8
B256,SG Island F,F,3.575
B257,SG Island F,F,3.925
B258,SG Island F,F,3.175
B259,SG Island F,F,3.2
B260,SG Island F,F,2.975
B262,SG Island F,F,3.8
B263,SG Island F,F,3.675
B264,SG Island F,F,3.725
B389,SG Island F,F,3.65
B390,SG Island F,F,3.025
B391,SG Island F,F,3.875
B423,SG Island F,F,3.25
B131,SG Island F,F,3.4
B394,SG Island F,F,3.2
B395,SG Island F,F,3.75
B275,MY Mainland F,F,3.8
B276,MY Mainland F,F,3.9
B277,MY Mainland F,F,3.7
B278,MY Mainland F,F,3.9
B279,MY Mainland F,F,3.5
B280,MY Mainland F,F,3
B281,MY Mainland F,F,4.275
B282,MY Mainland F,F,4.15
B283,MY Mainland F,F,3.8
B284,MY Mainland F,F,3.8
B285,MY Mainland F,F,3.9
B286,MY Mainland F,F,3.4
B287,MY Mainland F,F,3.45
B288,MY Mainland F,F,4.1
B289,MY Mainland F,F,3.95
B292,MY Mainland M,M,4.25
B293,MY Mainland M,M,4.15
B294,MY Mainland M,M,3.9
B295,MY Mainland M,M,4.25
B296,MY Mainland M,M,4.15
B297,MY Mainland M,M,4
B298,MY Mainland M,M,4.1
B299,MY Mainland M,M,3.5
B300,MY Mainland M,M,3.925
B301,MY Mainland M,M,3.8
B302,MY Mainland M,M,4.2
B303,MY Mainland M,M,3.85
B304,MY Mainland M,M,3.975
B305,MY Mainland M,M,3.975
B306,MY Mainland M,M,3.8
B307,MY Mainland F,F,3.8
B308,MY Mainland F,F,4
B309,MY Mainland F,F,3.125
B310,MY Mainland F,F,4.05
B311,MY Mainland F,F,4.175
B312,MY Mainland F,F,3.75
B313,MY Mainland F,F,3.875
B314,MY Mainland F,F,3.55
B315,MY Mainland F,F,3.45
B316,MY Mainland F,F,3.85
B327,MY Mainland M,M,4.3
B328,MY Mainland M,M,4.175
B329,MY Mainland M,M,3.8
B330,MY Mainland M,M,3.5
B331,MY Mainland M,M,3.65
B332,MY Mainland M,M,3.85
B333,MY Mainland M,M,3.75
B334,MY Mainland M,M,3.7
B335,MY Mainland M,M,3.5
B336,MY Mainland M,M,3.65
B337,MY Island F,F,4.3
B338,MY Island F,F,4
B339,MY Island F,F,3.9
B340,MY Island F,F,3.9
